Plot,Ring,Achillea millefolium,Agropyron repens,Amorpha canescens,Andropogon gerardi,Anemone cylindrica,Asclepias tuberosa,Bouteloua gracilis,Bromus inermis,Koeleria cristata,Lespedeza capitata,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Solidago rigida,Sorghastrum nutans
361,6,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1
362,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
363,6,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
364,6,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
365,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
366,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
